psg_file,reducer,clusterer,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin,purity,confusion_matrix
SC4032E0-PSG.edf,UMAP,KMeans,5,0,0.5225338339805603,9059.4345703125,0.6865635924804094,0.8543191800878477,"[[1898, 0, 21, 0, 38], [0, 0, 3, 0, 42], [2, 0, 247, 0, 151], [0, 0, 131, 0, 0], [6, 0, 4, 0, 189]]"
SC4032E0-PSG.edf,UMAP,HDBSCAN,16,152,0.3709034025669098,2247.994384765625,2.2755233956635,0.9418604651162791,"[[1911, 0, 14, 0, 14], [0, 0, 2, 0, 37], [1, 0, 261, 0, 38], [0, 0, 33, 85, 0], [6, 0, 5, 0, 173]]"
SC4032E0-PSG.edf,PCA,KMeans,5,0,0.464763016707162,2482.1287705424847,0.7343512845135566,0.7163250366032211,"[[1957, 0, 0, 0, 0], [45, 0, 0, 0, 0], [400, 0, 0, 0, 0], [131, 0, 0, 0, 0], [199, 0, 0, 0, 0]]"
SC4032E0-PSG.edf,PCA,HDBSCAN,2,14,0.6383444544627848,228.6337771257169,0.9675682803382334,0.7148638704930096,"[[1943, 0, 0, 0, 0], [45, 0, 0, 0, 0], [400, 0, 0, 0, 0], [131, 0, 0, 0, 0], [199, 0, 0, 0, 0]]"
SC4032E0-PSG.edf,None,KMeans,5,0,0.21395452655051211,534.740674750361,1.4127874519770984,0.7163250366032211,"[[1957, 0, 0, 0, 0], [45, 0, 0, 0, 0], [400, 0, 0, 0, 0], [131, 0, 0, 0, 0], [199, 0, 0, 0, 0]]"
SC4032E0-PSG.edf,None,HDBSCAN,4,1473,-0.0970590132650229,128.32652975591103,2.276660925063907,0.6513105639396346,"[[820, 0, 0, 0, 0], [36, 0, 0, 0, 0], [222, 0, 0, 0, 0], [6, 0, 0, 0, 0], [175, 0, 0, 0, 0]]"
SC4041E0-PSG.edf,UMAP,KMeans,5,0,0.6495682597160339,21922.05859375,0.5752106042542753,0.7926070038910505,"[[1417, 0, 117, 0, 0], [0, 0, 166, 0, 0], [0, 0, 620, 0, 0], [0, 0, 53, 0, 0], [0, 0, 197, 0, 0]]"
SC4041E0-PSG.edf,UMAP,HDBSCAN,4,0,0.6707268953323364,18338.099609375,0.39745311513250514,0.7926070038910505,"[[1417, 0, 117, 0, 0], [0, 0, 166, 0, 0], [0, 0, 620, 0, 0], [0, 0, 53, 0, 0], [0, 0, 197, 0, 0]]"
SC4041E0-PSG.edf,PCA,KMeans,5,0,0.48977915313842696,3747.020555171301,0.6743601906484991,0.7459143968871595,"[[1379, 0, 155, 0, 0], [4, 0, 162, 0, 0], [82, 0, 538, 0, 0], [52, 0, 1, 0, 0], [0, 0, 197, 0, 0]]"
SC4041E0-PSG.edf,PCA,HDBSCAN,17,686,-0.22938401485815604,116.5008088675084,1.8069403571762654,0.4851380042462845,"[[323, 0, 581, 0, 1], [1, 0, 157, 0, 0], [2, 0, 583, 0, 5], [4, 0, 42, 0, 0], [0, 0, 177, 0, 8]]"
SC4041E0-PSG.edf,None,KMeans,5,0,0.28444633937324293,664.2785688094186,1.450840933312693,0.7221789883268482,"[[1273, 0, 261, 0, 0], [8, 0, 158, 0, 0], [37, 0, 583, 0, 0], [22, 0, 31, 0, 0], [20, 0, 177, 0, 0]]"
SC4041E0-PSG.edf,None,HDBSCAN,4,1036,0.10360925680917542,245.7134269146817,2.5180179699760687,0.7509778357235984,"[[656, 0, 52, 0, 0], [0, 0, 135, 0, 0], [0, 0, 496, 0, 0], [0, 0, 26, 0, 0], [0, 0, 169, 0, 0]]"
SC4042E0-PSG.edf,UMAP,KMeans,5,0,0.6940290331840515,20771.23046875,0.5605543853816521,0.8065902578796562,"[[1676, 0, 33, 0, 64], [0, 0, 73, 0, 64], [1, 0, 445, 0, 68], [0, 0, 95, 0, 0], [0, 0, 142, 0, 131]]"
SC4042E0-PSG.edf,UMAP,HDBSCAN,3,0,0.8175003528594971,25896.962890625,0.2594684933828339,0.7840257879656161,"[[1676, 0, 97, 0, 0], [0, 0, 137, 0, 0], [1, 0, 513, 0, 0], [0, 0, 95, 0, 0], [0, 0, 273, 0, 0]]"
SC4042E0-PSG.edf,PCA,KMeans,5,0,0.47872147527841136,3378.5221412021006,0.7511995761625847,0.7611031518624641,"[[1618, 0, 155, 0, 0], [4, 0, 133, 0, 0], [7, 0, 507, 0, 0], [51, 0, 44, 0, 0], [0, 0, 273, 0, 0]]"
SC4042E0-PSG.edf,PCA,HDBSCAN,2,167,0.32411380253069083,177.0334552131808,1.6049978572771246,0.6175238095238095,"[[1621, 0, 0, 0, 0], [133, 0, 0, 0, 0], [508, 0, 0, 0, 0], [95, 0, 0, 0, 0], [268, 0, 0, 0, 0]]"
SC4042E0-PSG.edf,None,KMeans,5,0,0.2594154004900212,585.6129469874352,1.2926690441750637,0.755730659025788,"[[1597, 0, 176, 0, 0], [1, 0, 136, 0, 0], [1, 0, 513, 0, 0], [19, 0, 76, 0, 0], [0, 0, 273, 0, 0]]"
SC4042E0-PSG.edf,None,HDBSCAN,3,1414,0.06711186234777113,320.62087653221613,2.62885523276397,0.6741654571843251,"[[512, 0, 55, 0, 0], [0, 0, 106, 0, 0], [0, 0, 417, 0, 0], [0, 0, 52, 0, 0], [0, 0, 236, 0, 0]]"
SC4052E0-PSG.edf,UMAP,KMeans,5,0,0.5804345607757568,12427.345703125,0.6513131795723086,0.8225231646471846,"[[1722, 0, 58, 0, 0], [8, 0, 106, 0, 0], [31, 0, 586, 0, 0], [110, 0, 5, 0, 0], [2, 0, 178, 0, 0]]"
SC4052E0-PSG.edf,UMAP,HDBSCAN,32,247,0.40240222215652466,1793.7564697265625,1.3036823164296267,0.9073856975381008,"[[1700, 0, 30, 4, 11], [8, 0, 33, 0, 43], [5, 0, 414, 21, 35], [1, 0, 2, 108, 0], [2, 0, 42, 0, 100]]"
SC4052E0-PSG.edf,PCA,KMeans,5,0,0.5928082879680089,1900.0283882580495,0.48555651978704384,0.6343549536707056,"[[1780, 0, 0, 0, 0], [114, 0, 0, 0, 0], [617, 0, 0, 0, 0], [115, 0, 0, 0, 0], [180, 0, 0, 0, 0]]"
SC4052E0-PSG.edf,PCA,HDBSCAN,2,10,0.74902747965886,337.95496608978624,1.4792090816761168,0.6330472103004292,"[[1770, 0, 0, 0, 0], [114, 0, 0, 0, 0], [617, 0, 0, 0, 0], [115, 0, 0, 0, 0], [180, 0, 0, 0, 0]]"
SC4052E0-PSG.edf,None,KMeans,5,0,0.3207324328302166,491.80838205182016,0.8054604083720193,0.6343549536707056,"[[1780, 0, 0, 0, 0], [114, 0, 0, 0, 0], [617, 0, 0, 0, 0], [115, 0, 0, 0, 0], [180, 0, 0, 0, 0]]"
SC4052E0-PSG.edf,None,HDBSCAN,8,1988,-0.20929450794963428,48.12795205573087,1.9765539143086766,0.6674816625916871,"[[207, 0, 32, 0, 0], [0, 0, 68, 0, 0], [0, 0, 339, 0, 0], [0, 0, 48, 0, 0], [0, 0, 124, 0, 0]]"
SC4051E0-PSG.edf,UMAP,KMeans,5,0,0.5878309607505798,8308.859375,0.6997622077070792,0.8295371050698016,"[[2258, 0, 0, 0, 0], [44, 0, 0, 0, 0], [217, 0, 0, 0, 0], [135, 0, 0, 0, 0], [68, 0, 0, 0, 0]]"
SC4051E0-PSG.edf,UMAP,HDBSCAN,25,200,0.29971885681152344,1717.642333984375,2.1495906869429087,0.9595559080095163,"[[2160, 0, 7, 4, 0], [11, 0, 11, 0, 13], [5, 0, 124, 26, 4], [0, 0, 5, 101, 0], [2, 0, 14, 0, 35]]"
SC4051E0-PSG.edf,PCA,KMeans,5,0,0.3950691800239645,3152.0809401562483,0.8967087528499613,0.8295371050698016,"[[2258, 0, 0, 0, 0], [44, 0, 0, 0, 0], [217, 0, 0, 0, 0], [135, 0, 0, 0, 0], [68, 0, 0, 0, 0]]"
SC4051E0-PSG.edf,PCA,HDBSCAN,3,126,0.09871280612011132,16.491070167065214,14.899944373610737,0.8224191063174114,"[[2135, 0, 0, 0, 0], [43, 0, 0, 0, 0], [216, 0, 0, 0, 0], [135, 0, 0, 0, 0], [67, 0, 0, 0, 0]]"
SC4051E0-PSG.edf,None,KMeans,5,0,0.1691686659689747,457.7181794280633,1.6138443473615915,0.8295371050698016,"[[2258, 0, 0, 0, 0], [44, 0, 0, 0, 0], [217, 0, 0, 0, 0], [135, 0, 0, 0, 0], [68, 0, 0, 0, 0]]"
SC4051E0-PSG.edf,None,HDBSCAN,4,1643,-0.10039052658685096,145.73529438367333,2.7586198378252313,0.6774791473586654,"[[731, 0, 0, 0, 0], [33, 0, 0, 0, 0], [153, 0, 0, 0, 0], [103, 0, 0, 0, 0], [59, 0, 0, 0, 0]]"
SC4061E0-PSG.edf,UMAP,KMeans,5,0,0.5829471945762634,14694.375,0.5934409072368155,0.8833935018050542,"[[1936, 0, 126, 7, 0], [2, 0, 54, 0, 0], [5, 0, 391, 11, 0], [1, 0, 15, 120, 0], [0, 0, 102, 0, 0]]"
SC4061E0-PSG.edf,UMAP,HDBSCAN,5,0,0.6967653632164001,12126.9287109375,0.31245724137969355,0.8913357400722022,"[[1962, 0, 103, 4, 0], [2, 0, 54, 0, 0], [5, 0, 402, 0, 0], [1, 0, 30, 105, 0], [0, 0, 102, 0, 0]]"
